"record_id","title","abstract","record_type_raw","year","language","location"
"SYN-001","Ambient heat exposure and preterm birth in a Nairobi maternity cohort","We followed 2,340 pregnancies attending three public maternity units in Nairobi between 2021 and 2024. Daily maximum temperature was linked to residential location. Exposure to the highest temperature quintile in the final gestational month was associated with increased odds of preterm birth. Effects were concentrated among women in informal settlements.","Journal article","2026","English","Nairobi, Kenya"
"SYN-002","Acute kidney injury among outdoor market traders during hot season in Kumasi","A prospective study of 180 market traders working in uncovered stalls. Serum creatinine was measured at the start and end of the hot season. Sixteen percent met criteria for incident kidney injury. Water access at the market site modified the association.","Journal article","2026","English","Kumasi, Ghana"
"SYN-003","Heat stress and milk yield in smallholder dairy herds in central Kenya","Temperature-humidity index was recorded at 42 smallholder dairy farms over 18 months. Rising index values were associated with declining daily milk yield. Shade provision at the milking parlour attenuated losses.","Journal article","2025","English","Central Kenya"
"SYN-004","Hot days and primary school absenteeism in urban Malawi","Daily attendance registers from 22 primary schools in Blantyre were linked to local temperature records across three academic years. Absenteeism rose on days exceeding the 90th percentile of maximum temperature, with larger effects in schools without classroom ventilation.","Journal article","2026","English","Blantyre, Malawi"
"SYN-005","Heatwaves and all-cause mortality in Johannesburg: a 15-year time-series analysis","Daily all-cause mortality counts for Johannesburg from 2009 to 2024 were analysed using distributed lag non-linear models. Heatwave days were associated with elevated same-day and one-day-lagged mortality. Estimates were consistent with previous South African analyses.","Journal article","2026","English","Johannesburg, South Africa"
"SYN-006","Fine particulate matter and paediatric respiratory admissions in Nairobi","We examined the association between daily PM2.5 concentrations and paediatric respiratory admissions at two referral hospitals over four years. Models were adjusted for day of week, humidity and ambient temperature. A consistent positive association with PM2.5 was observed.","Journal article","2026","English","Nairobi, Kenya"
"SYN-007","Environmental determinants of hospital admissions in three coastal cities","We assembled 2.1 million admission records from tertiary hospitals in Dar es Salaam, Maputo and Durban between 2015 and 2025. Using case-crossover methods we estimated the admission burden attributable to ambient temperature, humidity and their interaction. Heat-attributable admissions exceeded previous continental estimates by a factor of two, with the largest excess in cardiovascular and renal categories.","Journal article","2026","English","Multi-country, Africa"
"SYN-008","Projected heat-related mortality in 47 African cities to 2100 under alternative emissions pathways","We combined exposure-response functions from published literature with downscaled climate projections and urban population growth scenarios. Projected annual heat-attributable deaths increase substantially under higher emissions pathways, with the steepest relative increases in Sahelian cities. No new empirical exposure data were collected.","Journal article","2026","English","Africa, modelling"
"SYN-009","Physiological heat strain among construction workers in Dar es Salaam","Core temperature and heart rate were monitored in 96 construction workers across 14 sites during the hot season. Forty-one percent exceeded recommended physiological strain thresholds on at least one shift. Strain was highest among workers on concrete pours and lowest where rotating rest schedules were in place.","Journal article","2026","English","Dar es Salaam, Tanzania"
"SYN-010","Ambient temperature and assault-related emergency presentations in Gauteng","Emergency department records for assault-related presentations across nine Gauteng facilities were linked to daily temperature. Presentations increased on hotter days, with the association strongest in the late afternoon and evening.","Journal article","2026","English","Gauteng, South Africa"
