;SYN-001;SYN-002;SYN-003;SYN-004;SYN-005;SYN-006;SYN-007;SYN-008;SYN-009;SYN-010;SYN-011;SYN-012;SYN-013;SYN-014;SYN-015;SYN-016;SYN-017;SYN-018;SYN-019;SYN-020;SYN-021;SYN-022;SYN-023;SYN-024;SYN-025;SYN-026;SYN-027;SYN-028;SYN-029;SYN-030;SYN-031;SYN-032;SYN-033;SYN-034
Is a finished study;Y;Y;Y;Y;Y;Y;Y;N;Y;Y;Y;N;Y;Y;Y;N;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;N;Y;y;Y;Y;Y;Y;Y
Is an intervention;N;N;N;N;N;N;N;N;N;N;N;;Y;Y;N;;N;N;N;N;Y;Y;N;N;N;N;;y;n;N;N;Y;N;N
Relevant on heat?;Y;Y;Y;Y;Y;N;Y;Y;Y;Y;Y;;Y;Y;Y;;Y;Y;Y;Y;Y;Y;Y;Y;N;Y;;y;Y;N;Y;Y;Y;Y
LMIC?;y;Y;Y;Y;N;NA;M;M;Y;N;Y;;Y;N;Y;;Y;N;N;Y;Y;N;Y;Y;;Y;;n;Y;Y;Y;Y;Y;Y
Not rural?;y;Y;N;Y;N;NA;Y;Y;Y;Y;Y;;Y;Y;Y;;Y;Y;Y;Y;Y;Y;Y;Y;;M;;Y;Y;Y;Y;Y;N;Y
Relevant on outcome 01-09?;y;Y;N;N;Y;NA;Y;y;y;N;Y;;Y;Y;Y;;N;Y;Y;Y;Y;Y;Y;N;;Y;;Y;N;N;Y;Y;Y;Y
Which outcome 01-09?;5;6;Na;NA;1;NA;03, 06;1;3;NA;7;;1,8;7;1,3;;;2,3;1;1;8;7;1;NA;;1;;7;NA;NA;9;7;5;1
SR/Trial;n;N;N;N;N;NA;N;N;n;N;N;;N;Y;N;;N;N;N;N;N;N;N;N;;Y;;Y;N;N;0;N;N;N
Equity;Y;Y;N;N;N;NA;N;N;Y;N;N;;N;Y;Y;;Y;n;N;N;N;Y;Y;N;;Y;;Y;N;N;N;1;Y;N
Policy relevant;0;0;0;0;0;NA;N;N;N;N;N;;2;1;N;;N;n;N;N;1;2;N;N;;N;;1;N;N;N;1;N;N
Harm;N;n;N;N;N;NA;N;N;N;N;N;;N;N;N;;N;n;N;N;N;Y;N;N;;N;;N;N;N;N;n;N;N
new intervention;n;N;N;N;N;NA;N;N;N;N;N;;N;N;N;;N;n;N;N;N;N;N;N;;N;;N;N;N;N;n;N;N
